"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
3,"Dynamic Duos","Perk Eatery","Scottsdale, Arizona",2013-05-06,"Perk Eatery Scottsdale Arizona yelp",613,1
4,"Traditional Gone Wild","South Philadelphia Tap Room","Philadelphia, Pennsylvania",2013-05-13,"South Philadelphia Tap Room Philadelphia Pennsylvania yelp",614,1
4,"Traditional Gone Wild","St. Francis","Phoenix, Arizona",2013-05-13,"St. Francis Phoenix Arizona yelp",615,1
5,"Peppers, Pork and Poutine","Barrio Cafe","Phoenix, Arizona",2013-05-20,"Barrio Cafe Phoenix Arizona yelp",616,1
5,"Peppers, Pork and Poutine","Rosedale Diner","Toronto, Ontario, Canada",2013-05-20,"Rosedale Diner Toronto Ontario Canada yelp",617,1
6,"Kings and Queens of 'Cue","Hops & Pie","Denver, Colorado",2013-05-27,"Hops & Pie Denver Colorado yelp",618,1
6,"Kings and Queens of 'Cue","Bludso's BBQ","Compton, California",2013-05-27,"Bludso's BBQ Compton California yelp",619,1
6,"Kings and Queens of 'Cue","Percy Street Barbecue","Philadelphia, Pennsylvania",2013-05-27,"Percy Street Barbecue Philadelphia Pennsylvania yelp",620,1
7,"A Festival of Flavor","Standard Tap","Philadelphia, Pennsylvania",2013-06-17,"Standard Tap Philadelphia Pennsylvania yelp",621,1
7,"A Festival of Flavor","Curry Corner","Tempe, Arizona",2013-06-17,"Curry Corner Tempe Arizona yelp",622,1
7,"A Festival of Flavor","Prohibition","Denver, Colorado",2013-06-17,"Prohibition Denver Colorado yelp",623,1
8,"Timeless Traditions","Jamaican Jerk Hut","Philadelphia, Pennsylvania",2013-06-24,"Jamaican Jerk Hut Philadelphia Pennsylvania yelp",624,1
8,"Timeless Traditions","DeFalco's Italian Eatery, Grocery & Deli","Scottsdale, Arizona",2013-06-24,"DeFalco's Italian Eatery, Grocery & Deli Scottsdale Arizona yelp",625,1
8,"Timeless Traditions","CoraFaye's Café","Denver, Colorado",2013-06-24,"CoraFaye's Café Denver Colorado yelp",626,1
9,"From Pound Cake to Pot Pie","Geechee Girl Rice Cafe","Philadelphia, Pennsylvania",2013-07-01,"Geechee Girl Rice Cafe Philadelphia Pennsylvania yelp",627,1
9,"From Pound Cake to Pot Pie","Haggo's Organic Taco","Leucadia, California",2013-07-01,"Haggo's Organic Taco Leucadia California yelp",628,1
9,"From Pound Cake to Pot Pie","The Duce","Phoenix, Arizona",2013-07-01,"The Duce Phoenix Arizona yelp",629,1
10,"L.A. Eats","The Park's Finest BBQ","Los Angeles, California",2013-07-08,"The Park's Finest BBQ Los Angeles California yelp",630,1
10,"L.A. Eats","Eastside Market Italian Deli","Los Angeles, California",2013-07-08,"Eastside Market Italian Deli Los Angeles California yelp",631,1
11,"All San Diego, All the Time","Hodad’s","Ocean Beach, California",2013-08-05,"Hodad’s Ocean Beach California yelp",632,1
11,"All San Diego, All the Time","OB Noodle House","Ocean Beach, California",2013-08-05,"OB Noodle House Ocean Beach California yelp",633,1
11,"All San Diego, All the Time","Pizzeria Luigi","North Park, California",2013-08-05,"Pizzeria Luigi North Park California yelp",634,1
12,"From the Heart","Shirley’s Tippy Canoe","Troutdale, Oregon",2013-08-12,"Shirley’s Tippy Canoe Troutdale Oregon yelp",635,1
12,"From the Heart","Spirito’s Italian Diner","Carlsbad, California",2013-08-12,"Spirito’s Italian Diner Carlsbad California yelp",636,1
12,"From the Heart","Nopalito","San Francisco, California",2013-08-12,"Nopalito San Francisco California yelp",637,1
13,"That's Fresh","Pica Pica","San Francisco, California",2013-08-19,"Pica Pica San Francisco California yelp",638,1
13,"That's Fresh","Edelweiss Sausage & Delicatessen","Portland, Oregon",2013-08-19,"Edelweiss Sausage & Delicatessen Portland Oregon yelp",639,1
1,"Neighborhood Knockouts","Crest Café","San Diego, California",2013-08-26,"Crest Café San Diego California yelp",640,1
1,"Neighborhood Knockouts","Show Dogs","San Francisco, California",2013-08-26,"Show Dogs San Francisco California yelp",641,1
1,"Neighborhood Knockouts","Industrial Café & Saloon","Portland, Oregon",2013-08-26,"Industrial Café & Saloon Portland Oregon yelp",642,1
2,"Meat Lover’s Paradise","The Refuge","San Carlos, California",2013-09-02,"The Refuge San Carlos California yelp",643,1
2,"Meat Lover’s Paradise","The Country Cat","Portland, Oregon",2013-09-02,"The Country Cat Portland Oregon yelp",644,1
3,"Servin’ Up San Francisco","Miller’s East Coast Deli","San Francisco, California",2013-09-09,"Miller’s East Coast Deli San Francisco California yelp",645,1
3,"Servin’ Up San Francisco","Koja Kitchen Food Truck","San Francisco, California",2013-09-09,"Koja Kitchen Food Truck San Francisco California yelp",646,1
3,"Servin’ Up San Francisco","The Front Porch","San Francisco, California",2013-09-09,"The Front Porch San Francisco California yelp",647,1
4,"Cannoli, Fritters and Wings","Senor Sisig Food Truck","San Francisco, California",2013-09-16,"Senor Sisig Food Truck San Francisco California yelp",648,1
4,"Cannoli, Fritters and Wings","A Taste of Home Cooking","Wheat Ridge, Colorado",2013-09-16,"A Taste of Home Cooking Wheat Ridge Colorado yelp",649,1
4,"Cannoli, Fritters and Wings","PDX671 Food Trailer","Portland, Oregon",2013-09-16,"PDX671 Food Trailer Portland Oregon yelp",650,1
5,"Aces of Authenticity","Casa Chimayo Restaurant","Santa Fe, New Mexico",2013-10-21,"Casa Chimayo Restaurant Santa Fe New Mexico yelp",651,1
5,"Aces of Authenticity","Frank's Noodle House","Portland, Oregon",2013-10-21,"Frank's Noodle House Portland Oregon yelp",652,2
5,"Aces of Authenticity","Torinos","Albuquerque, New Mexico",2013-10-21,"Torinos Albuquerque New Mexico yelp",653,1
6,"Sammies and Stew","Jambo Cafe","Santa Fe, New Mexico",2013-10-28,"Jambo Cafe Santa Fe New Mexico yelp",654,1
6,"Sammies and Stew","Bocadillos","Albuquerque, New Mexico",2013-10-28,"Bocadillos Albuquerque New Mexico yelp",655,1
7,"All Kinds of Gobble Gobble","Back Street Bistro","Santa Fe, New Mexico",2013-11-18,"Back Street Bistro Santa Fe New Mexico yelp",656,1
7,"All Kinds of Gobble Gobble","Golden Crown Panaderia","Albuquerque, New Mexico",2013-11-18,"Golden Crown Panaderia Albuquerque New Mexico yelp",657,1
7,"All Kinds of Gobble Gobble","Danny Edward's BBQ","Kansas City, Missouri",2013-11-18,"Danny Edward's BBQ Kansas City Missouri yelp",658,1
8,"Comfort and Soul","Tin Shed Garden Cafe","Portland, Oregon",2013-11-25,"Tin Shed Garden Cafe Portland Oregon yelp",659,1
8,"Comfort and Soul","Nexus Brewery","Albuquerque, New Mexico",2013-11-25,"Nexus Brewery Albuquerque New Mexico yelp",660,1
8,"Comfort and Soul","BB's Lawnside BBQ","Kansas City, Missouri",2013-11-25,"BB's Lawnside BBQ Kansas City Missouri yelp",661,1
9,"Pork, Pasta and Barbecue","Succotash","Kansas City, Missouri",2013-12-02,"Succotash Kansas City Missouri yelp",662,1
9,"Pork, Pasta and Barbecue","Cupini's","Kansas City, Missouri",2013-12-02,"Cupini's Kansas City Missouri yelp",663,1
9,"Pork, Pasta and Barbecue","The Cube","Albuquerque, New Mexico",2013-12-02,"The Cube Albuquerque New Mexico yelp",664,1
10,"South of the Border","Asi y Asado","Cabo San Lucas, Mexico",2013-12-09,"Asi y Asado Cabo San Lucas Mexico yelp",665,1
10,"South of the Border","Solomon's Landing","Cabo San Lucas, Mexico",2013-12-09,"Solomon's Landing Cabo San Lucas Mexico yelp",666,1
10,"South of the Border","Tiki Bar","Cabo San Lucas, Mexico",2013-12-09,"Tiki Bar Cabo San Lucas Mexico yelp",667,1
11,"Tennessee Holiday Traditions","Center Point Pit Barbecue","Hendersonville, Tennessee",2013-12-16,"Center Point Pit Barbecue Hendersonville Tennessee yelp",668,2
11,"Tennessee Holiday Traditions","Mas Tacos por Favor","Nashville, Tennessee",2013-12-16,"Mas Tacos por Favor Nashville Tennessee yelp",669,1
12,"Family Time","The Grilled Cheeserie","Nashville, Tennessee",2013-12-23,"The Grilled Cheeserie Nashville Tennessee yelp",670,2
12,"Family Time","Caffe Nonna","Nashville, Tennessee",2013-12-23,"Caffe Nonna Nashville Tennessee yelp",671,1
12,"Family Time","Blue Koi","Kansas City, Missouri",2013-12-23,"Blue Koi Kansas City Missouri yelp",672,1
13,"Soup, Salad and Seafood","Pot Pie","Kansas City, Missouri",2013-12-30,"Pot Pie Kansas City Missouri yelp",673,1
13,"Soup, Salad and Seafood","55 South","Franklin, Tennessee",2013-12-30,"55 South Franklin Tennessee yelp",674,1
13,"Soup, Salad and Seafood","Phat Bites","Nashville, Tennessee",2013-12-30,"Phat Bites Nashville Tennessee yelp",675,1
1,"Guy’s Hometown Tour","Pretzel Cart","Ferndale, California",2014-02-07,"Pretzel Cart Ferndale California yelp",676,1
1,"Guy’s Hometown Tour","Clendenen’s Cider Works","Fortuna, California",2014-02-07,"Clendenen’s Cider Works Fortuna California yelp",677,1
1,"Guy’s Hometown Tour","Loleta Cheese Shop","Loleta, California",2014-02-07,"Loleta Cheese Shop Loleta California yelp",678,1
1,"Guy’s Hometown Tour","Ferndale Meat Co.","Ferndale, California",2014-02-07,"Ferndale Meat Co. Ferndale California yelp",679,1
1,"Guy’s Hometown Tour","Ivanhoe","Ferndale, California",2014-02-07,"Ivanhoe Ferndale California yelp",680,1
1,"Guy’s Hometown Tour","Humboldt Sweets","Ferndale, California",2014-02-07,"Humboldt Sweets Ferndale California yelp",681,1
2,"All Things NY","Black Tree","Manhattan, New York",2014-02-14,"Black Tree Manhattan New York yelp",682,1
2,"All Things NY","Queen’s Comfort","Queens, New York",2014-02-14,"Queen’s Comfort Queens New York yelp",683,1
2,"All Things NY","Paul’s Live From New York","Eureka, California",2014-02-14,"Paul’s Live From New York Eureka California yelp",684,1
3,"Big Time Bites","Bun-Ker Vietnamese","Queens, New York",2014-02-21,"Bun-Ker Vietnamese Queens New York yelp",685,1
3,"Big Time Bites","Brindle Room","Manhattan, New York",2014-02-21,"Brindle Room Manhattan New York yelp",686,1
3,"Big Time Bites","Brick & Fire","Eureka, California",2014-02-21,"Brick & Fire Eureka California yelp",687,2
4,"Keepin' It Real","Sakaya Kitchen","Miami, Florida",2014-02-28,"Sakaya Kitchen Miami Florida yelp",688,3
4,"Keepin' It Real","Don Antonio By Starita","Manhattan, New York",2014-02-28,"Don Antonio By Starita Manhattan New York yelp",689,1
4,"Keepin' It Real","Bless My Soul","Eureka, California",2014-02-28,"Bless My Soul Eureka California yelp",690,2
5,"Dynamite Duos","Duck’s Eatery","Manhattan, New York",2014-03-07,"Duck’s Eatery Manhattan New York yelp",691,1
5,"Dynamite Duos","Whisk Gourmet","Miami, Florida",2014-03-07,"Whisk Gourmet Miami Florida yelp",692,1
5,"Dynamite Duos","Café Nooner","Eureka, California",2014-03-07,"Café Nooner Eureka California yelp",693,2
6,"Kickin It in Key West","Garbo’s Grill","Key West, Florida",2014-03-14,"Garbo’s Grill Key West Florida yelp",694,2
6,"Kickin It in Key West","Dj’s Clam Shack","Key West, Florida",2014-03-14,"Dj’s Clam Shack Key West Florida yelp",695,1
6,"Kickin It in Key West","Badboy Burrito","Key West, Florida",2014-03-14,"Badboy Burrito Key West Florida yelp",696,1
7,"From Meatballs to Lollipops","Maxwell’s East Coast Eatery","Salt Lake City, Utah",2014-04-25,"Maxwell’s East Coast Eatery Salt Lake City Utah yelp",697,1
7,"From Meatballs to Lollipops","Tin Roof Grill","Sandy, Utah",2014-04-25,"Tin Roof Grill Sandy Utah yelp",698,1
7,"From Meatballs to Lollipops","The Latin House","Miami, Florida",2014-04-25,"The Latin House Miami Florida yelp",699,1
8,"Cross Country Comfort Food","The Silver Star Café","Park City, Utah",2014-05-09,"The Silver Star Café Park City Utah yelp",700,1
8,"Cross Country Comfort Food","Sammy’s Bistro","Park City, Utah",2014-05-09,"Sammy’s Bistro Park City Utah yelp",701,1
8,"Cross Country Comfort Food","Blue Collar","Miami, Florida",2014-05-09,"Blue Collar Miami Florida yelp",702,1
9,"International Family Style","Artiso’s","Salt Lake City, Utah",2014-05-16,"Artiso’s Salt Lake City Utah yelp",703,1
9,"International Family Style","Boot’s and Kimo’s Homestyle Kitchen","Kailua, Hawaii",2014-05-16,"Boot’s and Kimo’s Homestyle Kitchen Kailua Hawaii yelp",704,1
9,"International Family Style","Oh Mai","Holladay, Utah",2014-05-16,"Oh Mai Holladay Utah yelp",705,1
10,"Island Flavor","Dean’s Drive Inn","Kaneohe, Hawaii",2014-05-23,"Dean’s Drive Inn Kaneohe Hawaii yelp",706,1
10,"Island Flavor","The Alley Restaurant At Aiea Bowl","Aiea, Hawaii",2014-05-23,"The Alley Restaurant At Aiea Bowl Aiea Hawaii yelp",707,2
10,"Island Flavor","Elena’s Restaurant","Waipahu, Hawaii",2014-05-23,"Elena’s Restaurant Waipahu Hawaii yelp",708,1
11,"Grillin, Chillin & Huli Huli Chicken","The Federal","Miami, Florida",2014-05-30,"The Federal Miami Florida yelp",709,1
11,"Grillin, Chillin & Huli Huli Chicken","Mike’s Huli Huli Chicken","Kaneohe, Hawaii",2014-05-30,"Mike’s Huli Huli Chicken Kaneohe Hawaii yelp",710,1
11,"Grillin, Chillin & Huli Huli Chicken","Tamarindo Truck","Orange County, California",2014-05-30,"Tamarindo Truck Orange County California yelp",711,2
12,"Righteous Bites","Loulou’s Griddle In The Middle","Monterey, California",2014-06-06,"Loulou’s Griddle In The Middle Monterey California yelp",712,1
12,"Righteous Bites","Fat Sal’s Deli","Los Angeles, California",2014-06-06,"Fat Sal’s Deli Los Angeles California yelp",713,1
12,"Righteous Bites","The Alley Restaurant At Aiea Bowl","Aiea, Hawaii",2014-06-06,"The Alley Restaurant At Aiea Bowl Aiea Hawaii yelp",714,2
NA,"Vegas Greats","Bachi Burger","Las Vegas, Nevada",2014-04-14,"Bachi Burger Las Vegas Nevada yelp",715,2
NA,"Vegas Greats","John Mull’s Road Kill Grill","Las Vegas, Nevada",2014-04-14,"John Mull’s Road Kill Grill Las Vegas Nevada yelp",716,1
NA,"Vegas Greats","Naked City Pizza","Las Vegas, Nevada",2014-04-14,"Naked City Pizza Las Vegas Nevada yelp",717,2
NA,"Vegas Greats","Forte European Tapas Bar & Bistro","Las Vegas, Nevada",2014-04-14,"Forte European Tapas Bar & Bistro Las Vegas Nevada yelp",718,2
NA,"Vegas Greats","UNLV","Las Vegas, Nevada",2014-04-14,"UNLV Las Vegas Nevada yelp",719,2
NA,"Crazy for Chicken","Uncle Lou's","Memphis, Tennessee",2014-04-18,"Uncle Lou's Memphis Tennessee yelp",720,2
NA,"Crazy for Chicken","Tortugas' Lie","Nags Head, North Carolina",2014-04-18,"Tortugas' Lie Nags Head North Carolina yelp",721,2
NA,"Crazy for Chicken","90 Miles Cuban Cafe","Chicago, Illinois",2014-04-18,"90 Miles Cuban Cafe Chicago Illinois yelp",722,2
NA,"Crazy for Chicken","Taco Taco Cafe","San Antonio, Texas",2014-04-18,"Taco Taco Cafe San Antonio Texas yelp",723,1
NA,"Crazy for Chicken","Rincon Criollo","Queens, New York",2014-04-18,"Rincon Criollo Queens New York yelp",724,2
NA,"Crazy for Chicken","Tocabe American Indian Eatery","Denver, Colorado",2014-04-18,"Tocabe American Indian Eatery Denver Colorado yelp",725,2
NA,"Crazy for Chicken","The Glass Onion","Charleston, South Carolina",2014-04-18,"The Glass Onion Charleston South Carolina yelp",726,2
NA,"Crazy for Chicken","Opal Thai Food","Haleiwa, Hawaii",2014-04-18,"Opal Thai Food Haleiwa Hawaii yelp",727,2
NA,"Crazy for Chicken","PotPie","Kansas City, Missouri",2014-04-18,"PotPie Kansas City Missouri yelp",728,1
NA,"Crazy for Chicken","Smalley’s Caribbean Barbeque","Stillwater, Minnesota",2014-04-18,"Smalley’s Caribbean Barbeque Stillwater Minnesota yelp",729,1
NA,"Grilling Greats","Tom's Bar-B-Q","Memphis, Tennessee",2014-06-21,"Tom's Bar-B-Q Memphis Tennessee yelp",730,2
NA,"Grilling Greats","Luke's Inside Out","Austin, Texas",2014-06-21,"Luke's Inside Out Austin Texas yelp",731,2
NA,"Grilling Greats","Caplansky's Deli","Toronto, Ontario",2014-06-21,"Caplansky's Deli Toronto Ontario yelp",732,1
NA,"Grilling Greats","Danny's All-American Diner & Dairy Bar","Tampa, Florida",2014-06-21,"Danny's All-American Diner & Dairy Bar Tampa Florida yelp",733,1
NA,"Grilling Greats","Louie Mueller's Barbecue","Taylor, Texas",2014-06-21,"Louie Mueller's Barbecue Taylor Texas yelp",734,1
NA,"Grilling Greats","Rick's Press Room Grill & Bar","Meridian, Idaho",2014-06-21,"Rick's Press Room Grill & Bar Meridian Idaho yelp",735,1
NA,"Grilling Greats","Maple & Motor","Dallas, Texas",2014-06-21,"Maple & Motor Dallas Texas yelp",736,2
NA,"Grilling Greats","Jawaiian Irie Jerk Restaurant","Honolulu, Hawaii",2014-06-21,"Jawaiian Irie Jerk Restaurant Honolulu Hawaii yelp",737,2
1,"California Cruisin","Sabroso Mexican Grill","Garden Grove, California",2014-09-05,"Sabroso Mexican Grill Garden Grove California yelp",738,1
1,"California Cruisin","Monterey Fish House","Monterey, California",2014-09-05,"Monterey Fish House Monterey California yelp",739,1
1,"California Cruisin","Rutt’s Hawaiian Cafe","Los Angeles, California",2014-09-05,"Rutt’s Hawaiian Cafe Los Angeles California yelp",740,1
2,"Stuffed and Twisted","Sidewinder’s American Grill","Jackson, Wyoming",2014-09-12,"Sidewinder’s American Grill Jackson Wyoming yelp",741,1
2,"Stuffed and Twisted","Rosine’s Restaurant","Monterey, California",2014-09-12,"Rosine’s Restaurant Monterey California yelp",742,1
2,"Stuffed and Twisted","Blunch","Boston, Massachusetts",2014-09-12,"Blunch Boston Massachusetts yelp",743,1
3,"Old Standards, New Styles","Pinky G’s Pizzeria","Jackson, Wyoming",2014-09-19,"Pinky G’s Pizzeria Jackson Wyoming yelp",744,1
3,"Old Standards, New Styles","The Starling Diner","Long Beach, California",2014-09-19,"The Starling Diner Long Beach California yelp",745,2
3,"Old Standards, New Styles","Cannery Row Brewing Company","Monterey, California",2014-09-19,"Cannery Row Brewing Company Monterey California yelp",746,1
4,"From Standards to Standouts","Factory Gastrobar","Long Beach, California",2014-09-26,"Factory Gastrobar Long Beach California yelp",747,1
4,"From Standards to Standouts","Pica’s Mexican Taqueria","Jackson, Wyoming",2014-09-26,"Pica’s Mexican Taqueria Jackson Wyoming yelp",748,1
4,"From Standards to Standouts","Little Napoli","Carmel, California",2014-09-26,"Little Napoli Carmel California yelp",749,1
5,"All Day Dining","Wild Plum Cafe & Bistro","Monterey, California",2014-10-03,"Wild Plum Cafe & Bistro Monterey California yelp",750,1
5,"All Day Dining","Nora’s Fish Creek Inn","Wilson, Wyoming",2014-10-03,"Nora’s Fish Creek Inn Wilson Wyoming yelp",751,1
5,"All Day Dining","Tavern on 2","Long Beach, California",2014-10-03,"Tavern on 2 Long Beach California yelp",752,2
1,"Roadtrippin’ in Beantown","Cafe Polonia","Boston, Massachusetts",2014-09-05,"Cafe Polonia Boston Massachusetts yelp",753,1
1,"Roadtrippin’ in Beantown","Lone Star Taco Bar","Allston, Massachusetts",2014-09-05,"Lone Star Taco Bar Allston Massachusetts yelp",754,1
1,"Roadtrippin’ in Beantown","Deep Ellum","Allston, Massachusetts",2014-09-05,"Deep Ellum Allston Massachusetts yelp",755,1
2,"Seriously Saucy","Saus","Boston, Massachusetts",2014-09-12,"Saus Boston Massachusetts yelp",756,1
2,"Seriously Saucy","Cafe Genevieve","Jackson, Wyoming",2014-09-12,"Cafe Genevieve Jackson Wyoming yelp",757,2
2,"Seriously Saucy","Melt Eclectic Cafe","Cincinnati, Ohio",2014-09-12,"Melt Eclectic Cafe Cincinnati Ohio yelp",758,1
3,"Cross-Country Classics","Trina’s Starlite Lounge","Somerville, Massachusetts",2014-09-19,"Trina’s Starlite Lounge Somerville Massachusetts yelp",759,1
3,"Cross-Country Classics","Shorty’s Pizza and Smoked Meat","Superior, Wisconsin",2014-09-19,"Shorty’s Pizza and Smoked Meat Superior Wisconsin yelp",760,1
3,"Cross-Country Classics","From Scratch Restaurant","Carmel, California",2014-09-19,"From Scratch Restaurant Carmel California yelp",761,1
4,"Worldwide Flavorfest","Casa Razdora","Boston, Massachusetts",2014-09-26,"Casa Razdora Boston Massachusetts yelp",762,1
4,"Worldwide Flavorfest","Island Frydays","Cincinnati, Ohio",2014-09-26,"Island Frydays Cincinnati Ohio yelp",763,1
4,"Worldwide Flavorfest","Pak’s Green Corner","Duluth, Minnesota",2014-09-26,"Pak’s Green Corner Duluth Minnesota yelp",764,1
5,"Small Town Standouts","Kounty Quarthouse","South Range, Wisconsin",2014-10-03,"Kounty Quarthouse South Range Wisconsin yelp",765,1
5,"Small Town Standouts","Junkyard Extreme Burgers and Brats","Junction City, Oregon",2014-10-03,"Junkyard Extreme Burgers and Brats Junction City Oregon yelp",766,1
5,"Small Town Standouts","Lotus Cafe","Jackson, Wyoming",2014-10-03,"Lotus Cafe Jackson Wyoming yelp",767,1
6,"One Street Wonders","Taste of Belgium","Cincinnati, Ohio",2014-10-10,"Taste of Belgium Cincinnati Ohio yelp",768,1
6,"One Street Wonders","Senate Pub","Cincinnati, Ohio",2014-10-10,"Senate Pub Cincinnati Ohio yelp",769,1
6,"One Street Wonders","Bakersfield OTR","Cincinnati, Ohio",2014-10-10,"Bakersfield OTR Cincinnati Ohio yelp",770,1
7,"Old School Joints","Cornbread Cafe","Eugene, Oregon",2014-10-31,"Cornbread Cafe Eugene Oregon yelp",771,1
7,"Old School Joints","Gannucci’s Italian Market","Duluth, Minnesota",2014-10-31,"Gannucci’s Italian Market Duluth Minnesota yelp",772,1
7,"Old School Joints","Delta Diner","Delta, Wisconsin",2014-10-31,"Delta Diner Delta Wisconsin yelp",773,1
8,"Meat In The Middle","The Sandwich League","Eugene, Oregon",2014-11-07,"The Sandwich League Eugene Oregon yelp",774,1
8,"Meat In The Middle","The Brick House Cafe and Catering","Cable, Wisconsin",2014-11-07,"The Brick House Cafe and Catering Cable Wisconsin yelp",775,2
8,"Meat In The Middle","Grano’s Pasta Bar","Baltimore, Maryland",2014-11-07,"Grano’s Pasta Bar Baltimore Maryland yelp",776,1
9,"Soup-Centric","Soup Nation","Eugene, Oregon",2014-11-14,"Soup Nation Eugene Oregon yelp",777,1
9,"Soup-Centric","Slainte Irish Pub and Restaurant","Baltimore, Maryland",2014-11-14,"Slainte Irish Pub and Restaurant Baltimore Maryland yelp",778,1
9,"Soup-Centric","Pho Lang Thang","Cincinnati, Ohio",2014-11-14,"Pho Lang Thang Cincinnati Ohio yelp",779,1
10,"All Baltimore All The Time","Jimmy’s Famous Seafood","Baltimore, Maryland",2014-11-21,"Jimmy’s Famous Seafood Baltimore Maryland yelp",780,1
10,"All Baltimore All The Time","Clementine","Baltimore, Maryland",2014-11-21,"Clementine Baltimore Maryland yelp",781,1
11,"Chicken Chowfest","Patton’s Restaurant & Catering","Des Moines, Iowa",2014-11-28,"Patton’s Restaurant & Catering Des Moines Iowa yelp",782,1
11,"Chicken Chowfest","Papa’s Soul Food Kitchen and BBQ","Eugene, Oregon",2014-11-28,"Papa’s Soul Food Kitchen and BBQ Eugene Oregon yelp",783,1
11,"Chicken Chowfest","Swallow at the Hollow","Baltimore, Maryland",2014-11-28,"Swallow at the Hollow Baltimore Maryland yelp",784,1
12,"Fresh Fish & Funky Chicken","Fisherman’s Market","Eugene, Oregon",2014-12-05,"Fisherman’s Market Eugene Oregon yelp",785,1
12,"Fresh Fish & Funky Chicken","Mi Patria Ecuadorian Restaurant","West Des Moines, Iowa",2014-12-05,"Mi Patria Ecuadorian Restaurant West Des Moines Iowa yelp",786,1
12,"Fresh Fish & Funky Chicken","Smokey D’s BBQ","Des Moines, Iowa",2014-12-05,"Smokey D’s BBQ Des Moines Iowa yelp",787,1
13,"Oldies But Goodies","Ernest & Son","Brigantine, New Jersey",2014-12-12,"Ernest & Son Brigantine New Jersey yelp",788,1
13,"Oldies But Goodies","Oyster Creek Inn","Leeds Point, New Jersey",2014-12-12,"Oyster Creek Inn Leeds Point New Jersey yelp",789,1
13,"Oldies But Goodies","George The Chili King Drive-In","Des Moines, Iowa",2014-12-12,"George The Chili King Drive-In Des Moines Iowa yelp",790,1
14,"Southern Spectacular","Farmer’s Shed","Lexington, South Carolina",2014-12-22,"Farmer’s Shed Lexington South Carolina yelp",791,1
14,"Southern Spectacular","Pine State Biscuits","Portland, Oregon",2014-12-22,"Pine State Biscuits Portland Oregon yelp",792,2
14,"Southern Spectacular","Sweetie Pie’s","St. Louis, Missouri",2014-12-22,"Sweetie Pie’s St. Louis Missouri yelp",793,1
14,"Southern Spectacular","Rick’s White Light Diner","Frankfort, Kentucky",2014-12-22,"Rick’s White Light Diner Frankfort Kentucky yelp",794,2
14,"Southern Spectacular","Zydeco’s","Mooresville, Indiana",2014-12-22,"Zydeco’s Mooresville Indiana yelp",795,2
15,"Best of Breakfast","Ruth’s Diner","Salt Lake City, Utah",2014-12-23,"Ruth’s Diner Salt Lake City Utah yelp",796,2
15,"Best of Breakfast","Lake Effect Diner","Buffalo, New York",2014-12-23,"Lake Effect Diner Buffalo New York yelp",797,2
15,"Best of Breakfast","Mustache Bill’s","Barnegat Light, New Jersey",2014-12-23,"Mustache Bill’s Barnegat Light New Jersey yelp",798,1
15,"Best of Breakfast","Al’s Breakfast","Minneapolis, Minnesota",2014-12-23,"Al’s Breakfast Minneapolis Minnesota yelp",799,2
15,"Best of Breakfast","Louie & the Red Head Lady","Mandeville, Louisiana",2014-12-23,"Louie & the Red Head Lady Mandeville Louisiana yelp",800,1
15,"Best of Breakfast","Grampa’s Bakery & Restaurant","Dania Beach, Florida",2014-12-23,"Grampa’s Bakery & Restaurant Dania Beach Florida yelp",801,1
15,"Best of Breakfast","W.O.W – Worth Our Weight","Santa Rosa, California",2014-12-23,"W.O.W – Worth Our Weight Santa Rosa California yelp",802,1
15,"Best of Breakfast","Schooner or Later","Long Beach, California",2014-12-23,"Schooner or Later Long Beach California yelp",803,2
15,"Best of Breakfast","Matt’s Big Breakfast","Phoenix, Arizona",2014-12-23,"Matt’s Big Breakfast Phoenix Arizona yelp",804,1
16,"Memorable Moms","Rigoletto Italian Bakery & Café","Virginia Beach, Virginia",2014-12-24,"Rigoletto Italian Bakery & Café Virginia Beach Virginia yelp",805,2
16,"Memorable Moms","Voula’s Offshore Cafe","Seattle, Washington",2014-12-24,"Voula’s Offshore Cafe Seattle Washington yelp",806,1
16,"Memorable Moms","Nadine’s Restaurant","Pittsburgh, Pennsylvania",2014-12-24,"Nadine’s Restaurant Pittsburgh Pennsylvania yelp",807,1
16,"Memorable Moms","Kelly O’s Diner","Pittsburgh, Pennsylvania",2014-12-24,"Kelly O’s Diner Pittsburgh Pennsylvania yelp",808,2
16,"Memorable Moms","Monte Carlo Steak House","Albuquerque, New Mexico",2014-12-24,"Monte Carlo Steak House Albuquerque New Mexico yelp",809,2
16,"Memorable Moms","Emily’s Lebanese Deli","Minneapolis, Minnesota",2014-12-24,"Emily’s Lebanese Deli Minneapolis Minnesota yelp",810,1
17,"Hometown Heroes","Eischen’s Bar","Okarche, Oklahoma",2014-12-25,"Eischen’s Bar Okarche Oklahoma yelp",811,1
17,"Hometown Heroes","Otto’s Sausage","Portland, Oregon",2014-12-25,"Otto’s Sausage Portland Oregon yelp",812,1
17,"Hometown Heroes","South 21 Drive In","Charlotte, North Carolina",2014-12-25,"South 21 Drive In Charlotte North Carolina yelp",813,1
17,"Hometown Heroes","Kramarczuk Sausage Company","Minneapolis, Minnesota",2014-12-25,"Kramarczuk Sausage Company Minneapolis Minnesota yelp",814,1
17,"Hometown Heroes","Bob’s Clam Hut","Kittery, Maine",2014-12-25,"Bob’s Clam Hut Kittery Maine yelp",815,2
