"ep_number","ep_title","restaurant","location","ep_air_date","yelp_string","index","freq_visited"
8,"Real Deal Fast Food","Joe's Farm Grill","Gilbert, Arizona",2008-05-19,"Joe's Farm Grill Gilbert Arizona yelp",106,1
8,"Real Deal Fast Food","Maria's Taco Express","Austin, Texas",2008-05-19,"Maria's Taco Express Austin Texas yelp",107,1
9,"The Memphis BBQ Tour","Cozy Corner","Memphis, Tennessee",2008-05-26,"Cozy Corner Memphis Tennessee yelp",108,1
9,"The Memphis BBQ Tour","Leonard's BBQ","Memphis, Tennessee",2008-05-26,"Leonard's BBQ Memphis Tennessee yelp",109,1
9,"The Memphis BBQ Tour","Marlowe's Ribs","Memphis, Tennessee",2008-05-26,"Marlowe's Ribs Memphis Tennessee yelp",110,1
9,"The Memphis BBQ Tour","Tom's Bar-B-Q","Memphis, Tennessee",2008-05-26,"Tom's Bar-B-Q Memphis Tennessee yelp",111,2
10,"Comfort Food","Grampa's Bakery & Restaurant","Dania Beach, Florida",2008-06-15,"Grampa's Bakery & Restaurant Dania Beach Florida yelp",112,1
10,"Comfort Food","Blue Moon Café","Baltimore, Maryland",2008-06-15,"Blue Moon Café Baltimore Maryland yelp",113,1
10,"Comfort Food","Central City Cafe","Huntington, West Virginia",2008-06-15,"Central City Cafe Huntington West Virginia yelp",114,1
10,"Comfort Food","Tip Top Café","San Antonio, Texas",2008-06-15,"Tip Top Café San Antonio Texas yelp",115,1
11,"Where The Locals Go","Matthews Cafeteria","Tucker, Georgia",2008-06-23,"Matthews Cafeteria Tucker Georgia yelp",116,1
11,"Where The Locals Go","The Rivershack Tavern","Jefferson, Louisiana",2008-06-23,"The Rivershack Tavern Jefferson Louisiana yelp",117,1
11,"Where The Locals Go","Monte Carlo Steak House","Albuquerque, New Mexico",2008-06-23,"Monte Carlo Steak House Albuquerque New Mexico yelp",118,2
12,"All Kinds of BBQ","The Joint","New Orleans, Louisiana",2008-06-30,"The Joint New Orleans Louisiana yelp",119,2
12,"All Kinds of BBQ","The Shed","Ocean Springs, Mississippi",2008-06-30,"The Shed Ocean Springs Mississippi yelp",120,1
