"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
10,"Comfort Food","Central City Cafe","Huntington, West Virginia",2008-06-15,"Central City Cafe Huntington West Virginia yelp",1,114,"central-city-cafe-huntington"
10,"Comfort Food","Tip Top Cafe","San Antonio, Texas",2008-06-15,"Tip Top Cafe San Antonio Texas yelp",1,115,"de-weses-tip-top-cafe-san-antonio"
11,"Where The Locals Go","Matthews Cafeteria","Tucker, Georgia",2008-06-23,"Matthews Cafeteria Tucker Georgia yelp",1,116,"matthews-cafeteria-tucker"
11,"Where The Locals Go","The Rivershack Tavern","Jefferson, Louisiana",2008-06-23,"The Rivershack Tavern Jefferson Louisiana yelp",1,117,"rivershack-tavern-jefferson"
11,"Where The Locals Go","Monte Carlo Steak House","Albuquerque, New Mexico",2008-06-23,"Monte Carlo Steak House Albuquerque New Mexico yelp",2,118,"monte-carlo-steak-house-albuquerque-2"
12,"All Kinds of BBQ","The Joint","New Orleans, Louisiana",2008-06-30,"The Joint New Orleans Louisiana yelp",2,119,"the-joint-new-orleans"
12,"All Kinds of BBQ","The Shed","Ocean Springs, Mississippi",2008-06-30,"The Shed Ocean Springs Mississippi yelp",1,120,"the-shed-bbq-and-blues-joint-ocean-springs-7"
12,"All Kinds of BBQ","Texas Pride BBQ","Adkins, Texas",2008-06-30,"Texas Pride BBQ Adkins Texas yelp",1,121,"texas-pride-barbecue-adkins"
13,"In the Family","Benny's Seafood Restaurant","South Miami, Florida",2008-07-07,"Benny's Seafood Restaurant South Miami Florida yelp",1,122,"bennys-seafood-restaurant-miami-3"
13,"In the Family","Chaps Pit Beef","Baltimore, Maryland",2008-07-07,"Chaps Pit Beef Baltimore Maryland yelp",2,123,"chaps-pit-beef-baltimore"
13,"In the Family","Burger Bar","Roy, Utah",2008-07-07,"Burger Bar Roy Utah yelp",1,124,"burger-bar-roy"
1,"Brain Freeze","Doumar's","Norfolk, Virginia",2008-07-14,"Doumar's Norfolk Virginia yelp",1,125,"doumars-cones-and-barbecue-norfolk"
1,"Brain Freeze","Aunt Lena's Creamery","Chandler, Arizona",2008-07-14,"Aunt Lena's Creamery Chandler Arizona yelp",1,126,"aunt-lenas-creamery-chandler"
1,"Brain Freeze","The Creole Creamery","New Orleans, Louisiana",2008-07-14,"The Creole Creamery New Orleans Louisiana yelp",2,127,"creole-creamery-new-orleans"
